Source.Name,Characteristics.organism.,Characteristics.cell.type.,Characteristics.cell.line.,Characteristics.medium.,Characteristics.genotype.,Characteristics.treatment.,Material.Type,Protocol.REF,Protocol.REF.1,Protocol.REF.2,Extract.Name,Protocol.REF.3,Labeled.Extract.Name,Label,Protocol.REF.4,Assay.Name,Technology.Type,Array.Design.REF,Term.Source.REF,Protocol.REF.5,Array.Data.File,Comment..ArrayExpress.FTP.file.,Factor.Value.phenotype.,Factor.Value.treatment.
2136-56-11_#4_AGI5198,Homo sapiens,acute myeloid leukemia cell line,HL60,MEMalpha,Mut,AGI5198,cell,P-MTAB-48327,P-MTAB-48328,P-MTAB-48329,NA,NA,NA,Affymetrix genechip WT terminal labeling kit,NA,2136-56-11 #4 AGI5198_(HuGene-2_0-st),NA,NA,ArrayExpress,NA,2136-56-11 #4 AGI5198_(HuGene-2_0-st).CEL,NA,NA,NA
2137-56-5_#4_AGI5198,Homo sapiens,acute myeloid leukemia cell line,HL60,MEMalpha,Mut,AGI5198,cell,P-MTAB-48327,P-MTAB-48328,P-MTAB-48329,NA,NA,NA,Affymetrix genechip WT terminal labeling kit,NA,2137-56-5 #4 AGI5198_(HuGene-2_0-st),NA,NA,ArrayExpress,NA,2137-56-5 #4 AGI5198_(HuGene-2_0-st).CEL,NA,NA,NA
2138-56-11_#4_DMF,Homo sapiens,acute myeloid leukemia cell line,HL60,MEMalpha,Mut,DMF,cell,P-MTAB-48327,P-MTAB-48328,P-MTAB-48329,NA,NA,NA,Affymetrix genechip WT terminal labeling kit,NA,2138-56-11 #4 DMF_(HuGene-2_0-st),NA,NA,ArrayExpress,NA,2138-56-11 #4 DMF_(HuGene-2_0-st).CEL,NA,NA,NA
55-2,Homo sapiens,acute myeloid leukemia cell line,HL60,RPMI,WT,None,cell,P-MTAB-48327,P-MTAB-48328,P-MTAB-48329,NA,NA,NA,Affymetrix genechip WT terminal labeling kit,NA,55-2_(HuGene-2_0-st),NA,NA,ArrayExpress,NA,55-2_(HuGene-2_0-st).CEL,NA,NA,NA
55-4,Homo sapiens,acute myeloid leukemia cell line,HL60,RPMI,WT,None,cell,P-MTAB-48327,P-MTAB-48328,P-MTAB-48329,NA,NA,NA,Affymetrix genechip WT terminal labeling kit,NA,55-4_(HuGene-2_0-st),NA,NA,ArrayExpress,NA,55-4_(HuGene-2_0-st).CEL,NA,NA,NA
55-7,Homo sapiens,acute myeloid leukemia cell line,HL60,RPMI,WT,None,cell,P-MTAB-48327,P-MTAB-48328,P-MTAB-48329,NA,NA,NA,Affymetrix genechip WT terminal labeling kit,NA,55-7_(HuGene-2_0-st),NA,NA,ArrayExpress,NA,55-7_(HuGene-2_0-st).CEL,NA,NA,NA
56-11,Homo sapiens,acute myeloid leukemia cell line,HL60,RPMI,Mut,None,cell,P-MTAB-48327,P-MTAB-48328,P-MTAB-48329,NA,NA,NA,Affymetrix genechip WT terminal labeling kit,NA,56-11_(HuGene-2_0-st),NA,NA,ArrayExpress,NA,56-11_(HuGene-2_0-st).CEL,NA,NA,NA
56-11high,Homo sapiens,acute myeloid leukemia cell line,HL60,RPMI,Mut,High,cell,P-MTAB-48327,P-MTAB-48328,P-MTAB-48329,NA,NA,NA,Affymetrix genechip WT terminal labeling kit,NA,56-11high_(HuGene-2_0-st),NA,NA,ArrayExpress,NA,56-11high_(HuGene-2_0-st).CEL,NA,NA,NA
56-3,Homo sapiens,acute myeloid leukemia cell line,HL60,RPMI,Mut,None,cell,P-MTAB-48327,P-MTAB-48328,P-MTAB-48329,NA,NA,NA,Affymetrix genechip WT terminal labeling kit,NA,56-3_(HuGene-2_0-st),NA,NA,ArrayExpress,NA,56-3_(HuGene-2_0-st).CEL,NA,NA,NA
56-5,Homo sapiens,acute myeloid leukemia cell line,HL60,RPMI,Mut,None,cell,P-MTAB-48327,P-MTAB-48328,P-MTAB-48329,NA,NA,NA,Affymetrix genechip WT terminal labeling kit,NA,56-5_(HuGene-2_0-st),NA,NA,ArrayExpress,NA,56-5_(HuGene-2_0-st).CEL,NA,NA,NA
