"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"2672","15","GO Process","","cellular response to chemical stimulus","3.05E-7","SOX9|EGLN3|MKNK2|APOE|SESN2|EP300|FGF2|PMAIP1|CASP9|ATF4|FOXO1|ERO1L|ERN1|PGF|AKT1","16949","367|697|226|543|342|1264|621|171|304|731|1426|605|1085|946|650","2.65E-9","","GO.0070887","0.7465148851483732","0"
"3267","16","GO Process","","response to stress","3.5E-7","EGLN3|APOE|SESN2|EP300|FGF2|PPP1CA|PMAIP1|CASP9|ATF4|FOXO1|ERO1L|CHAC1|ERN1|PRMT1|PGF|AKT1","16949","697|543|342|1264|621|1120|171|304|731|1426|605|975|1085|225|946|650","3.26E-9","","GO.0006950","0.7396671399186062","0"
"7824","21","GO Process","","response to stimulus","4.39E-7","SOX9|EGLN3|MKNK2|APOE|SESN2|GABBR2|EP300|FGF2|PPP1CA|PMAIP1|CASP9|ATF4|PPP1CC|FOXO1|ERO1L|MAPKAPK3|CHAC1|ERN1|PRMT1|PGF|AKT1","16949","367|697|226|543|342|102|1264|621|1120|171|304|731|442|1426|605|128|975|1085|225|946|650","4.45E-9","","GO.0050896","0.728393687781723","0"
"148","6","GO Process","","cellular response to decreased oxygen levels","9.94E-7","EGLN3|EP300|PMAIP1|ATF4|ERO1L|AKT1","16949","697|1264|171|731|605|650","1.05E-8","","GO.0036294","0.6877296842021143","0"
"298","7","GO Process","","response to decreased oxygen levels","1.8E-6","EGLN3|EP300|PMAIP1|ATF4|ERO1L|PGF|AKT1","16949","697|1264|171|731|605|946|650","2.0E-8","","GO.0036293","0.6581832313216163","0"
"5281","18","GO Process","","organonitrogen compound metabolic process","2.8E-6","SOX9|EGLN3|MKNK2|APOE|EP300|FGF2|PPP1CA|PMAIP1|CASP9|ATF4|PPP1CC|FOXO1|ERO1L|MAPKAPK3|CHAC1|ERN1|PRMT1|AKT1","16949","367|697|226|543|1264|621|1120|171|304|731|442|1426|605|128|975|1085|225|650","3.24E-8","","GO.1901564","0.6361985791660578","0"
"3882","16","GO Process","","regulation of response to stimulus","3.55E-6","SOX9|APOE|SESN2|EP300|FGF2|PPP1CA|PMAIP1|CASP9|ATF4|FOXO1|MAPKAPK3|CHAC1|ERN1|PRMT1|PGF|AKT1","16949","367|543|342|1264|621|1120|171|304|731|1426|128|975|1085|225|946|650","4.28E-8","","GO.0048583","0.6243896365384739","0"
"31","4","GO Process","","intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress","3.99E-6","ATF4|ERO1L|CHAC1|ERN1","16949","731|605|975|1085","5.0E-8","","GO.0070059","0.6185757477037277","0"
"97","5","KEGG Pathways","","Prostate cancer","4.59E-6","EP300|CASP9|ATF4|FOXO1|AKT1","16949","1264|304|731|1426|650","6.61E-8","","hsa05215","0.6116052291695916","0"
"515","8","KEGG Pathways","","Pathways in cancer","4.59E-6","EGLN3|EP300|FGF2|PMAIP1|CASP9|FOXO1|PGF|AKT1","16949","697|1264|621|171|304|1426|946|650","3.67E-8","","hsa05200","0.6116052291695916","0"
"100","5","KEGG Pathways","","Glucagon signaling pathway","4.59E-6","EP300|ATF4|FOXO1|PRMT1|AKT1","16949","1264|731|1426|225|650","7.64E-8","","hsa04922","0.6116052291695916","0"
"195","6","KEGG Pathways","","cAMP signaling pathway","4.59E-6","SOX9|GABBR2|EP300|PPP1CA|PPP1CC|AKT1","16949","367|102|1264|1120|442|650","5.17E-8","","hsa04024","0.6116052291695916","0"
"2815","14","GO Process","","response to organic substance","5.46E-6","SOX9|SESN2|EP300|FGF2|PMAIP1|CASP9|ATF4|FOXO1|ERO1L|MAPKAPK3|CHAC1|ERN1|PGF|AKT1","16949","367|342|1264|621|171|304|731|1426|605|128|975|1085|946|650","7.11E-8","","GO.0010033","0.6029688188560566","0"
"100","5","GO Process","","regulation of glucose metabolic process","5.66E-6","SESN2|PPP1CA|PMAIP1|FOXO1|AKT1","16949","342|1120|171|1426|650","7.64E-8","","GO.0010906","0.6011787747506202","0"
"134","5","KEGG Pathways","","Insulin signaling pathway","7.77E-6","MKNK2|PPP1CA|PPP1CC|FOXO1|AKT1","16949","226|1120|442|1426|650","3.11E-7","","hsa04910","0.5854131823530653","0"
"135","5","KEGG Pathways","","Apoptosis","7.77E-6","PMAIP1|CASP9|ATF4|ERN1|AKT1","16949","171|304|731|1085|650","3.22E-7","","hsa04210","0.5854131823530653","0"
"2946","14","GO Process","","positive regulation of nitrogen compound metabolic process","8.85E-6","SOX9|EGLN3|APOE|SESN2|EP300|FGF2|PMAIP1|CASP9|ATF4|FOXO1|MAPKAPK3|ERN1|PRMT1|AKT1","16949","367|697|543|342|1264|621|171|304|731|1426|128|1085|225|650","1.28E-7","","GO.0051173","0.5789373315092905","0"
"4898","17","GO Process","","positive regulation of cellular process","8.85E-6","SOX9|EGLN3|APOE|SESN2|EP300|FGF2|PPP1CA|PMAIP1|CASP9|ATF4|PPP1CC|FOXO1|MAPKAPK3|ERN1|PRMT1|PGF|AKT1","16949","367|697|543|342|1264|621|1120|171|304|731|442|1426|128|1085|225|946|650","1.24E-7","","GO.0048522","0.5789373315092905","0"
"4194","16","GO Process","","protein metabolic process","8.97E-6","SOX9|EGLN3|MKNK2|APOE|EP300|FGF2|PPP1CA|PMAIP1|CASP9|PPP1CC|FOXO1|ERO1L|MAPKAPK3|ERN1|PRMT1|AKT1","16949","367|697|226|543|1264|621|1120|171|304|442|1426|605|128|1085|225|650","1.34E-7","","GO.0019538","0.5782671818531331","0"
"618","8","GO Process","","regulation of cellular response to stress","9.5E-6","EP300|PMAIP1|CASP9|ATF4|FOXO1|ERN1|PRMT1|AKT1","16949","1264|171|304|731|1426|1085|225|650","1.47E-7","","GO.0080135","0.5754107760546973","0"
"293","6","KEGG Pathways","","MAPK signaling pathway","9.62E-6","MKNK2|FGF2|ATF4|MAPKAPK3|PGF|AKT1","16949","226|621|731|128|946|650","5.38E-7","","hsa04010","0.5747861922074279","0"
"1587","11","GO Process","","positive regulation of protein metabolic process","1.01E-5","SOX9|EGLN3|APOE|FGF2|PMAIP1|CASP9|FOXO1|MAPKAPK3|ERN1|PRMT1|AKT1","16949","367|697|543|621|171|304|1426|128|1085|225|650","1.69E-7","","GO.0051247","0.572363424334578","0"
"3603","15","GO Process","","cellular protein metabolic process","1.01E-5","SOX9|EGLN3|MKNK2|APOE|EP300|FGF2|PPP1CA|PMAIP1|PPP1CC|FOXO1|ERO1L|MAPKAPK3|ERN1|PRMT1|AKT1","16949","367|697|226|543|1264|621|1120|171|442|1426|605|128|1085|225|650","1.69E-7","","GO.0044267","0.572363424334578","0"
"240","6","GO Process","","response to endoplasmic reticulum stress","1.01E-5","SESN2|EP300|ATF4|ERO1L|CHAC1|ERN1","16949","342|1264|731|605|975|1085","1.71E-7","","GO.0034976","0.572363424334578","0"
"3033","14","GO Process","","regulation of signal transduction","1.01E-5","SOX9|APOE|SESN2|EP300|FGF2|PPP1CA|PMAIP1|FOXO1|MAPKAPK3|CHAC1|ERN1|PRMT1|PGF|AKT1","16949","367|543|342|1264|621|1120|171|1426|128|975|1085|225|946|650","1.85E-7","","GO.0009966","0.572363424334578","0"
"2999","14","GO Process","","cellular protein modification process","1.01E-5","SOX9|EGLN3|MKNK2|APOE|EP300|FGF2|PPP1CA|PPP1CC|FOXO1|ERO1L|MAPKAPK3|ERN1|PRMT1|AKT1","16949","367|697|226|543|1264|621|1120|442|1426|605|128|1085|225|650","1.6E-7","","GO.0006464","0.572363424334578","0"
"3060","14","GO Process","","positive regulation of cellular metabolic process","1.1E-5","SOX9|EGLN3|APOE|SESN2|EP300|FGF2|PMAIP1|CASP9|ATF4|FOXO1|MAPKAPK3|ERN1|PRMT1|AKT1","16949","367|697|543|342|1264|621|171|304|731|1426|128|1085|225|650","2.07E-7","","GO.0031325","0.5681161009354808","0"
"3081","14","GO Process","","positive regulation of macromolecule metabolic process","1.17E-5","SOX9|EGLN3|APOE|SESN2|EP300|FGF2|PMAIP1|CASP9|ATF4|FOXO1|MAPKAPK3|ERN1|PRMT1|AKT1","16949","367|697|543|342|1264|621|171|304|731|1426|128|1085|225|650","2.26E-7","","GO.0010604","0.5650463609765909","0"
"64","4","KEGG Pathways","","Long-term potentiation","1.19E-5","EP300|PPP1CA|ATF4|PPP1CC","16949","1264|1120|731|442","7.6E-7","","hsa04720","0.5642029872298584","0"
"663","8","GO Process","","positive regulation of cell death","1.26E-5","EGLN3|APOE|PPP1CA|PMAIP1|CASP9|ATF4|FOXO1|AKT1","16949","697|543|1120|171|304|731|1426|650","2.49E-7","","GO.0010942","0.5613589068859887","0"
"6072","18","GO Process","","regulation of macromolecule metabolic process","1.64E-5","SOX9|EGLN3|MKNK2|APOE|SESN2|EP300|FGF2|PPP1CA|PMAIP1|CASP9|ATF4|PPP1CC|FOXO1|MAPKAPK3|CHAC1|ERN1|PRMT1|AKT1","16949","367|697|226|543|342|1264|621|1120|171|304|731|442|1426|128|975|1085|225|650","3.4E-7","","GO.0060255","0.5482435052434309","0"
"139","5","GO Process","","cellular response to hypoxia","1.71E-5","EGLN3|EP300|PMAIP1|ERO1L|AKT1","16949","697|1264|171|605|650","3.71E-7","","GO.0071456","0.5461637695734125","0"
"2152","12","GO Process","","response to external stimulus","1.71E-5","SOX9|APOE|SESN2|FGF2|PPP1CA|PMAIP1|CASP9|ATF4|PPP1CC|FOXO1|MAPKAPK3|AKT1","16949","367|543|342|621|1120|171|304|731|442|1426|128|650","3.62E-7","","GO.0009605","0.5461637695734125","0"
"2198","12","GO Process","","cell surface receptor signaling pathway","2.01E-5","SOX9|MKNK2|EP300|FGF2|PPP1CA|CASP9|FOXO1|MAPKAPK3|CHAC1|PRMT1|PGF|AKT1","16949","367|226|1264|621|1120|304|1426|128|975|225|946|650","4.56E-7","","GO.0007166","0.5381208418601727","0"
"1764","11","GO Process","","regulation of intracellular signal transduction","2.11E-5","SOX9|APOE|SESN2|EP300|FGF2|PMAIP1|FOXO1|MAPKAPK3|ERN1|PRMT1|AKT1","16949","367|543|342|1264|621|171|1426|128|1085|225|650","4.91E-7","","GO.1902531","0.5357049372756505","0"
"290","6","GO Process","","response to light stimulus","2.11E-5","EP300|PPP1CA|CASP9|ATF4|PPP1CC|AKT1","16949","1264|1120|304|731|442|650","5.08E-7","","GO.0009416","0.5357049372756505","0"
"288","6","GO Process","","response to hypoxia","2.11E-5","EGLN3|EP300|PMAIP1|ERO1L|PGF|AKT1","16949","697|1264|171|605|946|650","4.88E-7","","GO.0001666","0.5357049372756505","0"
"153","5","GO Process","","response to unfolded protein","2.34E-5","EP300|ATF4|ERO1L|CHAC1|ERN1","16949","1264|731|605|975|1085","5.88E-7","","GO.0006986","0.5305568407257414","0"
"749","8","GO Process","","cellular response to DNA damage stimulus","2.4E-5","EGLN3|SESN2|EP300|PMAIP1|CASP9|FOXO1|PRMT1|AKT1","16949","697|342|1264|171|304|1426|225|650","6.24E-7","","GO.0006974","0.5292970807848931","0"
"305","6","GO Process","","cellular response to external stimulus","2.55E-5","SOX9|SESN2|PMAIP1|ATF4|FOXO1|AKT1","16949","367|342|171|731|1426|650","6.78E-7","","GO.0071496","0.5262805293503927","0"
"67","4","GO Process","","regulation of transcription from RNA polymerase II promoter in response to stress","3.18E-5","EGLN3|SESN2|EP300|ATF4","16949","697|342|1264|731","9.05E-7","","GO.0043618","0.5152945990741632","0"
"88","4","KEGG Pathways","","Longevity regulating pathway","3.56E-5","SESN2|ATF4|FOXO1|AKT1","16949","342|731|1426|650","2.57E-6","","hsa04211","0.509677964295267","0"
"332","6","GO Process","","regulation of small molecule metabolic process","3.71E-5","APOE|SESN2|PPP1CA|PMAIP1|FOXO1|AKT1","16949","543|342|1120|171|1426|650","1.1E-6","","GO.0062012","0.5076243911548444","0"
"4144","15","GO Process","","system development","3.71E-5","SOX9|MKNK2|APOE|EP300|FGF2|PPP1CA|CASP9|ATF4|PPP1CC|FOXO1|ERO1L|CHAC1|PRMT1|PGF|AKT1","16949","367|226|543|1264|621|1120|304|731|442|1426|605|975|225|946|650","1.14E-6","","GO.0048731","0.5076243911548444","0"
"1491","10","GO Process","","homeostatic process","3.71E-5","SOX9|APOE|SESN2|FGF2|PMAIP1|ATF4|FOXO1|ERO1L|ERN1|AKT1","16949","367|543|342|621|171|731|1426|605|1085|650","1.09E-6","","GO.0042592","0.5076243911548444","0"
"1496","10","GO Process","","positive regulation of cellular protein metabolic process","3.71E-5","SOX9|EGLN3|APOE|FGF2|PMAIP1|CASP9|MAPKAPK3|ERN1|PRMT1|AKT1","16949","367|697|543|621|171|304|128|1085|225|650","1.12E-6","","GO.0032270","0.5076243911548444","0"
"18","3","GO Process","","regulation of translation in response to stress","4.32E-5","SESN2|PPP1CA|ATF4","16949","342|1120|731","1.4E-6","","GO.0043555","0.5000500743036086","0"
"840","8","GO Process","","regulation of catabolic process","4.48E-5","SOX9|APOE|SESN2|EP300|PPP1CA|FOXO1|ERN1|AKT1","16949","367|543|342|1264|1120|1426|1085|650","1.47E-6","","GO.0009894","0.49824049816266","0"
"842","8","GO Process","","peptidyl-amino acid modification","4.5E-5","EGLN3|MKNK2|EP300|FGF2|MAPKAPK3|ERN1|PRMT1|AKT1","16949","697|226|1264|621|128|1085|225|650","1.5E-6","","GO.0018193","0.49801885922234823","0"
"98","4","KEGG Pathways","","HIF-1 signaling pathway","4.84E-5","EGLN3|MKNK2|EP300|AKT1","16949","697|226|1264|650","3.88E-6","","hsa04066","0.49439462986684546","0"
"1594","10","GO Process","","regulation of cell population proliferation","5.86E-5","SOX9|EGLN3|APOE|FGF2|PPP1CC|FOXO1|ERN1|PRMT1|PGF|AKT1","16949","367|697|543|621|442|1426|1085|225|946|650","2.01E-6","","GO.0042127","0.4848791913711514","0"
"10484","21","GO Process","","regulation of cellular process","5.91E-5","SOX9|EGLN3|MKNK2|APOE|SESN2|GABBR2|EP300|FGF2|PPP1CA|PMAIP1|CASP9|ATF4|PPP1CC|FOXO1|ERO1L|MAPKAPK3|CHAC1|ERN1|PRMT1|PGF|AKT1","16949","367|697|226|543|342|102|1264|621|1120|171|304|731|442|1426|605|128|975|1085|225|946|650","2.06E-6","","GO.0050794","0.4844564372577604","0"
"83","4","GO Process","","regulation of carbohydrate biosynthetic process","5.91E-5","SESN2|PPP1CA|FOXO1|AKT1","16949","342|1120|1426|650","2.05E-6","","GO.0043255","0.4844564372577604","0"
"373","6","GO Process","","response to oxidative stress","6.0E-5","APOE|SESN2|ATF4|FOXO1|ERO1L|AKT1","16949","543|342|731|1426|605|650","2.14E-6","","GO.0006979","0.4837044149861086","0"
"604","7","GO Process","","positive regulation of apoptotic process","6.1E-5","EGLN3|PPP1CA|PMAIP1|CASP9|ATF4|FOXO1|AKT1","16949","697|1120|171|304|731|1426|650","2.21E-6","","GO.0043065","0.48288195229655667","0"
"107","4","KEGG Pathways","","Insulin resistance","6.17E-5","PPP1CA|PPP1CC|FOXO1|AKT1","16949","1120|442|1426|650","5.43E-6","","hsa04931","0.4823142117951714","0"
"379","6","GO Process","","regulation of cellular amide metabolic process","6.4E-5","MKNK2|APOE|SESN2|PPP1CA|ATF4|AKT1","16949","226|543|342|1120|731|650","2.34E-6","","GO.0034248","0.48049311629780406","0"
"1638","10","GO Process","","regulation of cell death","6.83E-5","SOX9|EGLN3|APOE|FGF2|PPP1CA|PMAIP1|CASP9|ATF4|FOXO1|AKT1","16949","367|697|543|621|1120|171|304|731|1426|650","2.57E-6","","GO.0010941","0.4772575277091742","0"
"23","3","GO Process","","positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus","7.13E-5","SESN2|EP300|ATF4","16949","342|1264|731","2.72E-6","","GO.1901522","0.475118608440212","0"
"115","4","KEGG Pathways","","Thyroid hormone signaling pathway","7.45E-5","EP300|CASP9|FOXO1|AKT1","16949","1264|304|1426|650","7.16E-6","","hsa04919","0.4729340991729757","0"
"222","5","GO Process","","cellular response to oxidative stress","8.95E-5","SESN2|ATF4|FOXO1|ERO1L|AKT1","16949","342|731|1426|605|650","3.5E-6","","GO.0034599","0.46380654225016804","0"
"4533","15","GO Process","","regulation of gene expression","9.47E-5","SOX9|EGLN3|MKNK2|APOE|SESN2|EP300|FGF2|PPP1CA|ATF4|PPP1CC|FOXO1|CHAC1|ERN1|PRMT1|AKT1","16949","367|697|226|543|342|1264|621|1120|731|442|1426|975|1085|225|650","3.79E-6","","GO.0010468","0.46099644846157123","0"
"128","4","KEGG Pathways","","Dopaminergic synapse","1.0E-4","PPP1CA|ATF4|PPP1CC|AKT1","16949","1120|731|442|650","1.08E-5","","hsa04728","0.458286825201934","0"
"130","4","KEGG Pathways","","FoxO signaling pathway","1.0E-4","EP300|FOXO1|PRMT1|AKT1","16949","1264|1426|225|650","1.15E-5","","hsa04068","0.458286825201934","0"
"2605","13","Reactome Pathways","","Signal Transduction","1.0E-4","SOX9|APOE|GABBR2|EP300|FGF2|PPP1CA|CASP9|PPP1CC|FOXO1|MAPKAPK3|PRMT1|PGF|AKT1","16949","367|543|102|1264|621|1120|304|442|1426|128|225|946|650","3.01E-7","","HSA-162582","0.458286825201934","0"
"2176","12","GO Function","","catalytic activity, acting on a protein","1.1E-4","SOX9|EGLN3|MKNK2|FGF2|PPP1CA|CASP9|PPP1CC|ERO1L|MAPKAPK3|ERN1|PRMT1|AKT1","16949","367|697|226|621|1120|304|442|605|128|1085|225|650","4.09E-7","","GO.0140096","0.4535443946349974","0"
"2219","11","GO Process","","cellular response to organic substance","1.1E-4","SOX9|SESN2|EP300|FGF2|CASP9|ATF4|FOXO1|ERO1L|ERN1|PGF|AKT1","16949","367|342|1264|621|304|731|1426|605|1085|946|650","4.82E-6","","GO.0071310","0.4535443946349974","0"
"104","4","GO Process","","signal transduction in response to DNA damage","1.1E-4","SESN2|EP300|CASP9|PRMT1","16949","342|1264|304|225","4.87E-6","","GO.0042770","0.4535443946349974","0"
"1747","10","GO Process","","regulation of protein modification process","1.1E-4","SOX9|APOE|SESN2|EP300|FGF2|FOXO1|MAPKAPK3|ERN1|PRMT1|AKT1","16949","367|543|342|1264|621|1426|128|1085|225|650","4.6E-6","","GO.0031399","0.4535443946349974","0"
"103","4","GO Process","","endoplasmic reticulum unfolded protein response","1.1E-4","EP300|ATF4|ERO1L|ERN1","16949","1264|731|605|1085","4.69E-6","","GO.0030968","0.4535443946349974","0"
"139","4","KEGG Pathways","","Adrenergic signaling in cardiomyocytes","1.2E-4","PPP1CA|ATF4|PPP1CC|AKT1","16949","1120|731|442|650","1.48E-5","","hsa04261","0.44921489473525916","0"
"3322","13","GO Process","","regulation of molecular function","1.2E-4","EGLN3|APOE|SESN2|GABBR2|EP300|FGF2|PPP1CA|PMAIP1|CASP9|MAPKAPK3|ERN1|PGF|AKT1","16949","697|543|342|102|1264|621|1120|171|304|128|1085|946|650","5.14E-6","","GO.0065009","0.44921489473525916","0"
"995","8","GO Process","","chemical homeostasis","1.2E-4","APOE|SESN2|FGF2|ATF4|FOXO1|ERO1L|ERN1|AKT1","16949","543|342|621|731|1426|605|1085|650","5.15E-6","","GO.0048878","0.44921489473525916","0"
"142","4","KEGG Pathways","","Hepatitis B","1.3E-4","EP300|CASP9|ATF4|AKT1","16949","1264|304|731|650","1.61E-5","","hsa05161","0.4452321409065425","0"
"1370","9","GO Process","","regulation of protein phosphorylation","1.3E-4","SOX9|APOE|SESN2|FGF2|FOXO1|MAPKAPK3|ERN1|PRMT1|AKT1","16949","367|543|342|621|1426|128|1085|225|650","5.6E-6","","GO.0001932","0.4452321409065425","0"
"712","7","GO Process","","regulation of MAPK cascade","1.5E-4","APOE|FGF2|FOXO1|MAPKAPK3|ERN1|PRMT1|AKT1","16949","543|621|1426|128|1085|225|650","6.47E-6","","GO.0043408","0.4381117491873241","0"
"455","6","GO Process","","response to nutrient levels","1.5E-4","APOE|SESN2|PMAIP1|ATF4|FOXO1|AKT1","16949","543|342|171|731|1426|650","6.61E-6","","GO.0031667","0.4381117491873241","0"
"8349","19","GO Process","","nitrogen compound metabolic process","1.5E-4","SOX9|EGLN3|MKNK2|APOE|SESN2|EP300|FGF2|PPP1CA|PMAIP1|CASP9|ATF4|PPP1CC|FOXO1|ERO1L|MAPKAPK3|CHAC1|ERN1|PRMT1|AKT1","16949","367|697|226|543|342|1264|621|1120|171|304|731|442|1426|605|128|975|1085|225|650","7.06E-6","","GO.0006807","0.4381117491873241","0"
"156","4","KEGG Pathways","","Cellular senescence","1.7E-4","PPP1CA|PPP1CC|FOXO1|AKT1","16949","1120|442|1426|650","2.3E-5","","hsa04218","0.43188389906451913","0"
"24","3","UniProt Keywords","","Glycogen metabolism","1.7E-4","PPP1CA|PPP1CC|AKT1","16949","1120|442|650","3.06E-6","","KW-0321","0.43188389906451913","0"
"1427","9","GO Process","","response to oxygen-containing compound","1.7E-4","SOX9|APOE|SESN2|CASP9|ATF4|FOXO1|MAPKAPK3|ERN1|AKT1","16949","367|543|342|304|731|1426|128|1085|650","7.81E-6","","GO.1901700","0.43188389906451913","0"
"6413","17","GO Process","","cellular macromolecule metabolic process","1.7E-4","SOX9|EGLN3|MKNK2|APOE|SESN2|EP300|FGF2|PPP1CA|PMAIP1|ATF4|PPP1CC|FOXO1|ERO1L|MAPKAPK3|ERN1|PRMT1|AKT1","16949","367|697|226|543|342|1264|621|1120|171|731|442|1426|605|128|1085|225|650","8.04E-6","","GO.0044260","0.43188389906451913","0"
"3457","13","GO Process","","cell differentiation","1.7E-4","SOX9|APOE|EP300|FGF2|CASP9|ATF4|PPP1CC|FOXO1|ERO1L|CHAC1|PRMT1|PGF|AKT1","16949","367|543|1264|621|304|731|442|1426|605|975|225|946|650","8.11E-6","","GO.0030154","0.43188389906451913","0"
"160","4","KEGG Pathways","","cGMP-PKG signaling pathway","1.8E-4","PPP1CA|ATF4|PPP1CC|AKT1","16949","1120|731|442|650","2.54E-5","","hsa04022","0.42903981872064934","0"
"35","3","GO Process","","protein kinase B signaling","1.8E-4","SOX9|SESN2|AKT1","16949","367|342|650","8.75E-6","","GO.0043491","0.42903981872064934","0"
"743","7","GO Process","","regulation of cellular catabolic process","1.8E-4","APOE|SESN2|EP300|PPP1CA|FOXO1|ERN1|AKT1","16949","543|342|1264|1120|1426|1085|650","8.53E-6","","GO.0031329","0.42903981872064934","0"
"122","4","GO Process","","regulation of endothelial cell proliferation","1.8E-4","APOE|FGF2|PGF|AKT1","16949","543|621|946|650","8.98E-6","","GO.0001936","0.42903981872064934","0"
"488","6","GO Process","","regulation of protein serine/threonine kinase activity","1.9E-4","APOE|SESN2|FGF2|MAPKAPK3|ERN1|AKT1","16949","543|342|621|128|1085|650","9.82E-6","","GO.0071900","0.4263495495033643","0"
"7453","18","GO Process","","macromolecule metabolic process","1.9E-4","SOX9|EGLN3|MKNK2|APOE|SESN2|EP300|FGF2|PPP1CA|PMAIP1|CASP9|ATF4|PPP1CC|FOXO1|ERO1L|MAPKAPK3|ERN1|PRMT1|AKT1","16949","367|697|226|543|342|1264|621|1120|171|304|731|442|1426|605|128|1085|225|650","1.0E-5","","GO.0043170","0.4263495495033643","0"
