"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","sens","CHR","MAPINFO","UCSC_RefGene_Name","UCSC_RefGene_Group","Relation_to_UCSC_CpG_Island"
"47","cg06539391",0.307102395648655,0.405541250394643,2.25328072146359,0.0367045006831353,0.664060282801026,-4.8106567659088,"hypermethylated","6",32053641,"TNXB","Body","N_Shore"
"48","cg06540458",0.39835674309474,0.413296411990342,2.85448105311708,0.0103929073529843,0.454635898470398,-3.62872938107266,"hypermethylated","1",226951747,"","",""
"49","cg06545761",0.471390146184064,0.563289442751357,2.75221739046576,0.0129562198281925,0.499302692958825,-3.8385510004583,"hypermethylated","16",87441441,"ZCCHC14","3'UTR","Island"
"50","cg06549275",0.412539019296178,0.321846240014195,3.342271654028,0.00355422013770579,0.281784659025373,-2.59322980037843,"hypermethylated","2",9471231,"ASAP2;ASAP2","Body;Body",""
"51","cg06551697",0.32458841141791,0.579865104971834,3.19822641079027,0.00489369528613886,0.324874954770273,-2.90403239027285,"hypermethylated","17",56612362,"","","S_Shelf"
"52","cg06552563",0.406029272000643,0.131016452602443,4.26324268237014,0.000450615271378721,0.101643220033202,-0.55564935120871,"hypermethylated","16",89632749,"","","Island"
"53","cg06557421",-0.34003888747004,0.616867968026253,-3.23205239180282,0.00454044536188986,0.313713194255569,-2.83136790792846,"hypomethylated","10",125650718,"CPXM2","Body","N_Shore"
"54","cg06567290",0.537033406192995,0.351857810510322,3.77491011021571,0.00134907570696756,0.178713864846819,-1.64312284515176,"hypermethylated","11",118900111,"SLC37A4;SLC37A4;SLC37A4;SLC37A4;SLC37A4;SLC37A4","5'UTR;5'UTR;5'UTR;1stExon;5'UTR;5'UTR","N_Shore"
"55","cg06578276",0.327787066787695,0.305975683825669,2.53698985311296,0.0204606253167494,0.586377169725765,-4.26938509965997,"hypermethylated","17",79068856,"BAIAP2;BAIAP2;BAIAP2;BAIAP2","Body;Body;Body;Body",""
"56","cg06584503",0.305855586373832,0.0918723266599806,4.79674646014046,0.000137513586644478,0.0515862646815661,0.631389173206445,"hypermethylated","12",9800343,"LOC374443","TSS1500","N_Shore"
"57","cg06586046",0.358703123115121,0.38217245950269,2.80405900387185,0.0115890779282106,0.47727245277876,-3.73256166439042,"hypermethylated","17",78038103,"CCDC40","Body","N_Shore"
"58","cg06588028",0.330587774553025,0.281826833895915,3.37678925394574,0.00329112735778494,0.271397688177625,-2.51825527493604,"hypermethylated","12",6745568,"LPAR5","TSS1500",""
"59","cg06588605",0.486428665101069,0.251445606683582,3.85317335285694,0.00113149975853056,0.163106655664136,-1.46945081262237,"hypermethylated","20",35201208,"TGIF2","TSS1500","N_Shore"
"60","cg06598197",-0.401295355548666,0.587478544343827,-2.42921679059211,0.0256141325631931,0.623522476243351,-4.47889235837597,"hypomethylated","17",49761771,"CA10;CA10;CA10","Body;Body;Body",""
"61","cg06603923",0.343275725527025,0.402768911248023,2.78984286909804,0.0119495485943863,0.483008417867566,-3.76170526660171,"hypermethylated","7",151217961,"RHEB","TSS1500","S_Shore"
"62","cg06627617",0.473827088123993,0.244834237043189,3.57153798827212,0.00212942008492608,0.219559650741205,-2.09225203315314,"hypermethylated","2",9471179,"ASAP2;ASAP2","Body;Body",""
"63","cg06630413",-0.317170255494555,0.519123963321218,-2.47313852482145,0.0233818485604172,0.60837825948155,-4.3940524909656,"hypomethylated","12",54366875,"HOXC11","TSS200","Island"
"64","cg06631317",0.347131556072012,0.38999593659412,2.19310548556317,0.0414198599542969,0.667529518245412,-4.92094308030652,"hypermethylated","3",42305516,"CCK","5'UTR","N_Shore"
"65","cg06632310",0.309809726649347,0.314127366441237,2.35681343746586,0.0297341666936369,0.644867889180531,-4.61703697163121,"hypermethylated","19",8275229,"LASS4","5'UTR","S_Shore"
"66","cg06634552",0.326198248258888,0.258342797019303,3.60730307831195,0.00196536564614291,0.209976362027836,-2.0135391825438,"hypermethylated","6",13873667,"","","N_Shore"
"67","cg06638568",0.511198187200811,0.388133230989774,4.26337403307839,0.000450482724723042,0.101643220033202,-0.555356256884958,"hypermethylated","6",163730822,"PACRG;PACRG;PACRG","Body;Body;Body",""
"68","cg06638811",0.314771068104295,0.532635715909237,2.18085333480295,0.042445586673102,0.667529518245412,-4.94318679088412,"hypermethylated","9",137030555,"RNU6ATAC","TSS1500","Island"
"69","cg06646636",0.321139087725509,0.295045418740689,3.98390584679167,0.000843430031792814,0.141833349998827,-1.17862979893978,"hypermethylated","16",734766,"JMJD8;WDR24","TSS1500;Body","Island"
"70","cg06650914",0.389932857619558,0.170018756379548,3.27254554015078,0.00415031726359547,0.302062949954674,-2.744114009793,"hypermethylated","18",74208293,"","","Island"
"71","cg06653796",0.377644486659856,0.18031363975606,4.53691120192537,0.000244572384703436,0.0730882844708957,0.054463437440063,"hypermethylated","20",62367805,"LIME1","TSS200","N_Shore"
"72","cg06655097",-0.338536375097672,0.375520127958316,-2.41416482750144,0.0264240015890059,0.627752084629786,-4.50778940271069,"hypomethylated","4",177455600,"","",""
"73","cg06655349",0.355947380029643,0.561984458169514,2.28956689114089,0.0341055515856921,0.658543789601002,-4.74334076753895,"hypermethylated","19",10332165,"S1PR2","3'UTR","N_Shelf"
"74","cg06657721",0.404469087645065,0.311519500973653,2.64746370266379,0.0162038857662451,0.542442237365892,-4.05018399044398,"hypermethylated","6",25027618,"","",""
"75","cg06666008",-0.335730594300261,0.41981161157775,-2.36153932717729,0.0294474378830173,0.642026908414313,-4.60808694479059,"hypomethylated","11",31819464,"PAX6;PAX6;PAX6","Body;Body;Body","N_Shore"
"76","cg06666025",0.409770837695113,0.301685506146735,2.53031043889554,0.0207492786044311,0.588563559156746,-4.28249824138868,"hypermethylated","16",66613278,"CMTM2","TSS200","Island"
"77","cg06671387",0.436553107869962,0.294656971470478,4.855020840012,0.000120942396875043,0.0481059858323524,0.760287630688826,"hypermethylated","4",141444896,"ELMOD2","TSS1500","N_Shore"
"78","cg06673536",0.461454086791446,0.3673247706921,3.6340976887385,0.00185073445613324,0.205868541324427,-1.95448569078042,"hypermethylated","19",45213941,"CEACAM16","3'UTR","S_Shelf"
"79","cg06679087",0.448234068158752,0.266674786815304,3.01627315644939,0.00730595720358896,0.388066886152814,-3.29101488092465,"hypermethylated","10",99473206,"MARVELD1;MARVELD1","TSS1500;TSS1500","Island"
"80","cg06682445",0.384997463816055,0.609016255237779,2.60194093226366,0.0178447923205304,0.559490628016386,-4.14102822289266,"hypermethylated","7",43915791,"URGCP;URGCP;URGCP","3'UTR;3'UTR;3'UTR",""
"81","cg06685737",-0.313440351734781,0.461074699281899,-2.27245333947536,0.0353093362873968,0.661205647194813,-4.77516352290396,"hypomethylated","7",35301730,"","","Island"
"82","cg06689816",0.361214625011434,0.243521775797264,3.47329857643984,0.0026531673138867,0.24326268352709,-2.3077388045602,"hypermethylated","5",158639111,"","","S_Shelf"
"83","cg06697829",0.32501857042647,0.188861022946242,3.61875475180323,0.00191553580510033,0.208061032802936,-1.98830892721262,"hypermethylated","2",208633331,"FZD5","Body","Island"
"84","cg06708133",0.35061549928649,0.63688328646801,2.68657978239292,0.0149095005497901,0.524816068327654,-3.97156950757764,"hypermethylated","19",50667801,"C19orf41","TSS1500","S_Shore"
"85","cg06716730",0.333199782222512,0.383527841680161,2.91395248606311,0.00913453226047971,0.429526324013861,-3.50536700962025,"hypermethylated","17",35851459,"DUSP14","5'UTR","S_Shore"
"86","cg06729642",0.30200026987736,0.170181574459107,2.71390499329429,0.0140644112829918,0.515224940022569,-3.91635766427276,"hypermethylated","17",43324793,"LOC100133991","TSS1500","Island"
"87","cg06732873",0.516715527170313,0.461601000067428,3.47185367444018,0.00266175210610064,0.243751817867645,-2.31089963796527,"hypermethylated","7",35731578,"HERPUD2","Body","N_Shelf"
"88","cg06744740",0.364887377955463,0.134876190781734,4.51674293384157,0.0002558017447667,0.0739316329802501,0.00956253212491909,"hypermethylated","14",56584485,"PELI2","TSS1500","N_Shore"
"89","cg06748434",-0.508687583789736,0.495365953169751,-2.58491681859075,0.0184980017069437,0.568004051878382,-4.17481709198419,"hypomethylated","3",27761408,"EOMES","Body","N_Shore"
"90","cg06753439",0.371645493306708,0.18696398952906,3.80969350682833,0.00124764886475342,0.171882496752404,-1.56598266820862,"hypermethylated","6",33245488,"B3GALT4","1stExon","Island"
"91","cg06758644",0.342144273911353,0.140205178274726,3.64863244719574,0.00179135622642667,0.203589965836569,-1.92242374416285,"hypermethylated","1",12533120,"VPS13D;VPS13D","Body;Body",""
"92","cg06760238",0.334912025782912,0.310945609684829,2.5562761430923,0.0196482896070457,0.578927124087351,-4.23142991004839,"hypermethylated","10",134400036,"INPP5A","Body",""
"93","cg06760518",-0.365694695312761,0.349229508406465,-2.24373722558531,0.0374177599606599,0.664854467171161,-4.82826104093848,"hypomethylated","2",237087777,"","","Island"
"94","cg06762457",0.393736189328032,0.433484383661143,3.13587721799059,0.00561658003417865,0.344436885407535,-3.03740553600465,"hypermethylated","6",149806635,"ZC3H12D","TSS1500",""
"95","cg06775523",0.399054950339227,0.456295576909622,2.63736698626573,0.0165549625636688,0.547335450631009,-4.07039365454549,"hypermethylated","1",3514921,"MEGF6","Body","S_Shelf"
"96","cg06784691",0.33039302108649,0.398105710787879,2.94619398312323,0.00851517688930096,0.415857833529763,-3.43810239929678,"hypermethylated","1",2245988,"","","Island"
"97","cg06785999",-0.303297113887054,0.267797123396348,-2.31172877386002,0.0326030746437303,0.651874125206031,-4.70193533561816,"hypomethylated","14",60975964,"SIX6;SIX6","1stExon;5'UTR","Island"
"98","cg06791546",-0.305062943212489,0.86625445012704,-3.75276979272846,0.00141787638390865,0.181705899397953,-1.69218151179166,"hypomethylated","2",863938,"","","Island"
"99","cg06793728",0.314579131023263,0.40068626596598,2.72512619093495,0.0137307886798578,0.509710558399595,-3.8936162554115,"hypermethylated","12",54942853,"PDE1B","TSS1500",""
"100","cg06796435",0.40020921519928,0.342070060332649,3.55902833159335,0.00218994964115403,0.221874420339676,-2.1197522505808,"hypermethylated","14",24780682,"LTB4R2;LTB4R2;LTB4R2;CIDEB;LTB4R","Body;1stExon;Body;TSS200;TSS200","Island"
"101","cg06804564",0.304502189636405,0.223075523097644,2.71406177642999,0.0140596970095465,0.515224940022569,-3.91604019240312,"hypermethylated","1",90100070,"LRRC8C","5'UTR","S_Shore"
"102","cg06812844",0.310605366848527,0.344414688150776,2.27588328856006,0.0350649685836458,0.660576541919908,-4.76879613503612,"hypermethylated","21",45773782,"TRPM2","Body",""
"103","cg06818052",0.358449825473226,0.141814931507148,4.66037757628722,0.00018591512417904,0.0632368583718372,0.328999355335243,"hypermethylated","17",9143096,"NTN1","Body","Island"
"104","cg06822995",-0.316556890509646,0.341141956086434,-2.11445585344741,0.0484194832209652,0.673610965779934,-5.06244516232382,"hypomethylated","5",110559431,"CAMK4","TSS1500","N_Shore"
"105","cg06823034",0.49335907300793,0.332342757040237,3.86583857295194,0.0010997445315862,0.160882375395999,-1.441311892517,"hypermethylated","14",24780734,"LTB4R;LTB4R2;LTB4R2;LTB4R2;LTB4R;CIDEB","5'UTR;Body;1stExon;Body;1stExon;TSS200","Island"
"106","cg06824394",0.39092753753193,0.317879148657761,2.62931743405728,0.016840023221182,0.551360265261406,-4.0864810398689,"hypermethylated","7",86846535,"C7orf23","Body","N_Shelf"
"107","cg06825448",0.481835530213871,0.196584923856148,6.5099953333728,3.68038707238622e-06,0.0112813715027879,4.28674750643176,"hypermethylated","2",240884925,"","",""
"108","cg06826457",0.428091095929929,0.383442996373775,2.62069839781108,0.0171504170390945,0.552747108646511,-4.10368211592033,"hypermethylated","12",12867669,"","","N_Shelf"
"109","cg06829584",0.426405818814199,0.35557081257971,3.74196616942016,0.00145270686715263,0.184052089065253,-1.71610753752055,"hypermethylated","10",75659483,"","",""
"110","cg06830981",0.333547937115181,0.275737734611332,3.02211987439818,0.00721296081625633,0.385981785122816,-3.27869078473237,"hypermethylated","1",22142491,"LDLRAD2","Body","S_Shore"
"111","cg06837568",-0.364854607518167,0.812711523890328,-4.30363707226081,0.000411650997605711,0.0963308288484466,-0.465518249730085,"hypomethylated","12",108634212,"WSCD2","Body",""
"112","cg06853339",0.477374149610405,0.254039739982858,4.23714796132351,0.000477742815370623,0.10442781867684,-0.613877706674545,"hypermethylated","17",76117687,"TMC6;TMC6","Body;Body",""
"113","cg06867863",0.301093964142991,0.149471470846306,4.55969050622351,0.000232488271559264,0.0707372681991099,0.10516026893019,"hypermethylated","2",66159330,"","",""
"114","cg06872548",0.39310837783872,0.450075719537338,2.93516417317587,0.0087223451938975,0.420289271259177,-3.46114326844828,"hypermethylated","17",78716983,"RPTOR;RPTOR","Body;Body","N_Shelf"
"115","cg06874426",0.427331215063147,0.312296815342903,2.9367191287256,0.00869284677778994,0.419410132630344,-3.457896875864,"hypermethylated","17",47287526,"ABI3;GNGT2;ABI3","TSS200;TSS1500;TSS200",""
"116","cg06882058",0.310182448514201,0.2933574958908,3.01912508706168,0.00726045066687594,0.386608044189584,-3.28500437832557,"hypermethylated","1",243646787,"SDCCAG8","Body","Island"
"117","cg06891043",0.305263400731466,0.54141434825624,2.26487498260324,0.0358548457140133,0.662824215416745,-4.7892130524192,"hypermethylated","17",7186718,"SLC2A4","Body","S_Shore"
"118","cg06892907",0.38514437465124,0.38077065406878,3.56820870048526,0.00214536541676076,0.219663452477495,-2.09957249782643,"hypermethylated","8",103818062,"","","N_Shore"
"119","cg06899237",0.391301223246209,0.318162782626846,4.25412348268411,0.000459914273300323,0.10270523498647,-0.575997962676917,"hypermethylated","6",153353519,"RGS17","Body",""
"120","cg06905453",0.468376320735066,0.316395790653203,3.08338110028775,0.00630517714655555,0.364162587501654,-3.14909797550629,"hypermethylated","19",14089284,"RFX1","Body","N_Shore"
"121","cg06909469",0.303508327292415,0.110310844974418,5.13826006921753,6.507744903022e-05,0.0355490064796656,1.38343480808458,"hypermethylated","2",96990800,"ITPRIPL1;ITPRIPL1;ITPRIPL1;ITPRIPL1","TSS1500;TSS1500;TSS1500;TSS1500","N_Shore"
"122","cg06916001",0.345994566215407,0.131933421100641,3.33675340765226,0.00359815645565218,0.283671078533884,-2.60519913307945,"hypermethylated","16",14403004,"MIR365-1","TSS200",""
"123","cg06935608",0.322894690697835,0.599579467601751,2.1369412256096,0.0463156437739624,0.673476902855793,-5.02230488162715,"hypermethylated","8",26309176,"","","S_Shore"
"124","cg06935979",0.503045707406739,0.552578904695269,3.6967721138329,0.00160788923237965,0.193660804846013,-1.81609943235835,"hypermethylated","1",232941706,"KIAA1383","1stExon","Island"
"125","cg06937939",0.357543773616159,0.207860619831592,4.47914300100634,0.000278150443189173,0.0778381754266003,-0.0741816018378403,"hypermethylated","10",6128602,"","","N_Shelf"
"126","cg06939307",0.407736738184091,0.221907488837418,3.77261592555157,0.00135604746031129,0.178742069502772,-1.64820790162988,"hypermethylated","1",32408132,"","","N_Shelf"
"127","cg06939851",0.300884267284211,0.287914575933488,2.869451203181,0.0100612638622761,0.449434079989661,-3.59776581956677,"hypermethylated","1",226112534,"PYCR2","TSS1500","Island"
"128","cg06949673",-0.322441113679525,0.478237126375655,-2.8110272672529,0.0114162221762932,0.474361424561263,-3.71825509301643,"hypomethylated","1",56463319,"","",""
"129","cg06958535",0.497189946514225,0.431499182678101,3.52320793931822,0.00237286072116045,0.228600822758375,-2.19840216481917,"hypermethylated","1",203734478,"LAX1;LAX1;LAX1","1stExon;1stExon;5'UTR",""
"130","cg06965300",0.310769341548905,0.40877796691942,2.13940854541302,0.0460899335615135,0.673127390033003,-5.01788478227848,"hypermethylated","21",44867263,"","","S_Shelf"
"131","cg06972695",0.308637563875124,0.239015595957752,2.94265611804927,0.00858110326024769,0.41696600911578,-3.44549619585471,"hypermethylated","22",45097596,"PRR5;PRR5-ARHGAP8;PRR5;PRR5;PRR5;PRR5","5'UTR;TSS1500;5'UTR;5'UTR;5'UTR;TSS1500","N_Shore"
"132","cg06974930",0.331387718991263,0.288399771737077,4.28938038014836,0.000424999020757883,0.0982889771725741,-0.4973276739774,"hypermethylated","1",46633153,"","","S_Shore"
"133","cg06976598",-0.46037156985582,0.41246667838099,-2.67620527525084,0.0152428626541735,0.530140820245482,-3.99246882421335,"hypomethylated","10",53639124,"PRKG1;PRKG1","Body;Body",""
"134","cg06980173",0.326430403680572,0.340556790371805,3.14987368844401,0.00544573539308781,0.340670041059069,-3.00753117237679,"hypermethylated","1",154376344,"IL6R;IL6R","TSS1500;TSS1500","N_Shore"
"135","cg06996273",0.442291288547466,0.363936537280048,2.41194520517806,0.0265454348693862,0.629069898409753,-4.51204288128041,"hypermethylated","1",3620729,"TP73;TP73;TP73;TP73","Body;Body;Body;Body","N_Shelf"
"136","cg07000116",0.369294225260327,0.541408735745152,2.35216868045983,0.0300185029528248,0.646042598979107,-4.625824058318,"hypermethylated","16",30616649,"ZNF689","Body","S_Shore"
"137","cg07011029",0.320578191509082,0.293832475611592,2.22503027380415,0.0388530464022917,0.667529518245412,-4.86264547842059,"hypermethylated","8",1848040,"ARHGEF10","Body",""
"138","cg07015886",0.305304988229701,0.518249564763578,2.53511036796826,0.0205414624996245,0.586839587545119,-4.27307660497019,"hypermethylated","1",223317465,"TLR5","TSS1500","S_Shore"
"139","cg07016184",-0.334592147394971,0.436236668488651,-2.44437461133884,0.0248220962810768,0.618655708281891,-4.44969978703994,"hypomethylated","15",96884187,"","","Island"
"140","cg07021906",0.369311778883972,0.615885770429532,2.19511482519254,0.0412538267094157,0.667529518245412,-4.91728821216626,"hypermethylated","16",87866833,"SLC7A5","Body",""
"141","cg07026433",0.337625646916085,0.195994061312884,5.30731956115265,4.5126713222872e-05,0.030042780841136,1.75226966217741,"hypermethylated","7",129781152,"","","Island"
"142","cg07026904",-0.311798150741059,0.671084184921404,-2.19903818703398,0.0409313942459627,0.667529518245412,-4.91014625321566,"hypomethylated","11",114832606,"","","S_Shore"
"143","cg07027613",0.309637806414359,0.320207464600038,2.51741756724791,0.0213173446435003,0.592548321673012,-4.30776287377535,"hypermethylated","12",7260608,"C1RL;LOC283314","Body;TSS1500",""
"144","cg07030727",0.35544498251656,0.148658459511106,3.23492478103821,0.00451162564703568,0.313161460216121,-2.82518797285637,"hypermethylated","2",85536594,"TCF7L1","3'UTR",""
"145","cg07031408",0.355094045341066,0.2616669145943,2.90649636640496,0.00928384023087671,0.432386901426301,-3.52088461702171,"hypermethylated","13",24269867,"","","Island"
"146","cg07039378",0.375116898124811,0.62692718359626,2.59414520091315,0.0181411513815171,0.563250819968138,-4.1565135519883,"hypermethylated","7",73645723,"","",""
