"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000076","BP","GO:0000076","DNA replication checkpoint","8/1069","16/18670",9.58801157558484e-07,9.58801157558484e-07,0.00043288266615894,"CDC45/CDC6/CLSPN/RAD9A/TIMELESS/CDT1/TIPIN/DNA2",8
"GO:0048285","BP","GO:0048285","organelle fission","52/1069","449/18670",1.05197058912744e-06,1.05197058912744e-06,0.000435368178903796,"HSPA2/TEX15/FBXO43/PSRC1/DMC1/DSN1/EDN1/IL1A/MASTL/BRIP1/TUBB8/RAD51/BRCA2/RAD54L/CDC6/CYP26B1/PKMYT1/FANCA/CDCA5/BIRC5/CCDC36/MND1/ANLN/CCDC8/HSPA1A/PTTG3P/EME1/CDT1/MYO19/CCNE2/SLC2A8/TEX14/CHEK1/RAD54B/FANCD2/DSCC1/NEK6/LRRK2/XRCC3/LIF/CALR/ZWINT/STAT2/DDX4/UBXN2B/SIRT7/CDC25C/KNTC1/AURKB/NCAPD2/ARHGEF10/KIFC1",52
"GO:0006271","BP","GO:0006271","DNA strand elongation involved in DNA replication","8/1069","17/18670",1.72001100081971e-06,1.72001100081971e-06,0.000657085983956875,"GINS3/LIG1/POLD3/GINS4/GINS2/MCM4/DNA2/PCNA",8
"GO:1903046","BP","GO:1903046","meiotic cell cycle process","28/1069","188/18670",3.20210760538838e-06,3.20210760538838e-06,0.00113590554001672,"HSPA2/TEX15/FBXO43/DMC1/OVOL1/MASTL/BRIP1/TUBB8/RAD51/BRCA2/RAD54L/CYP26B1/FANCA/CCDC36/MND1/PTTG3P/EME1/CCNE2/SLC2A8/TEX14/RAD54B/FANCD2/LIF/CALR/CDC25A/DDX4/CDC25C/NCAPD2",28
"GO:0032392","BP","GO:0032392","DNA geometric change","21/1069","119/18670",3.63633549509796e-06,3.63633549509796e-06,0.00118699493115958,"CDC45/CHD7/BRIP1/RAD51/RECQL4/CHTF18/RAD54L/GINS4/POLQ/RFC2/GINS2/RAD54B/DSCC1/MCM4/MCM5/DNA2/RTEL1/RFC5/NBN/HMGB2/HMGB3",21
"GO:0022616","BP","GO:0022616","DNA strand elongation","9/1069","24/18670",3.82414645053531e-06,3.82414645053531e-06,0.00118699493115958,"GINS3/LIG1/POLD3/GINS4/GINS2/MCM4/DNA2/PCNA/NBN",9
"GO:0006270","BP","GO:0006270","DNA replication initiation","11/1069","37/18670",4.43664361656699e-06,4.43664361656699e-06,0.0012961043085426,"CDC45/RPA4/CDC6/CDT1/CCNE2/CDK2/POLA2/MCM4/MCM10/MCM5/NBN",11
"GO:0000075","BP","GO:0000075","cell cycle checkpoint","30/1069","216/18670",6.17028262289058e-06,6.17028262289058e-06,0.00170242066753203,"ARID3A/PLK2/CDC45/STK33/BRIP1/RPA4/CDC6/CLSPN/BRCA1/RAD9A/TIMELESS/EME1/CDT1/CDK2/TIPIN/TEX14/WDR76/CHEK1/XRCC3/FBXO6/DTL/DNA2/ZWINT/PCNA/NBN/PROX1/CDC25C/KNTC1/AURKB/E2F7",30
"GO:0000724","BP","GO:0000724","double-strand break repair via homologous recombination","22/1069","134/18670",7.30177207847735e-06,7.30177207847735e-06,0.00190857399813054,"TEX15/DMC1/CDC45/RAD51/RECQL4/RPA4/BRCA2/RAD54L/GINS4/POLQ/BRCA1/TIMELESS/GINS2/FEN1/CHEK1/RAD54B/XRCC3/MCM4/XRCC2/MCM5/RTEL1/NBN",22
"GO:0090329","BP","GO:0090329","regulation of DNA-dependent DNA replication","13/1069","54/18670",8.13330245438849e-06,8.13330245438849e-06,0.00195333624013524,"ATG7/FGFR1/CHTF18/BRCA2/RFC2/TIMELESS/CDT1/CDK2/TIPIN/DSCC1/RFC5/NBN/E2F7",13
"GO:0000725","BP","GO:0000725","recombinational repair","22/1069","135/18670",8.25965620828701e-06,8.25965620828701e-06,0.00195333624013524,"TEX15/DMC1/CDC45/RAD51/RECQL4/RPA4/BRCA2/RAD54L/GINS4/POLQ/BRCA1/TIMELESS/GINS2/FEN1/CHEK1/RAD54B/XRCC3/MCM4/XRCC2/MCM5/RTEL1/NBN",22
"GO:0031570","BP","GO:0031570","DNA integrity checkpoint","24/1069","157/18670",1.01009792470098e-05,1.01009792470098e-05,0.00228021148743504,"ARID3A/PLK2/CDC45/STK33/BRIP1/RPA4/CDC6/CLSPN/BRCA1/RAD9A/TIMELESS/EME1/CDT1/CDK2/TIPIN/WDR76/CHEK1/FBXO6/DTL/DNA2/PCNA/NBN/CDC25C/E2F7",24
"GO:0032201","BP","GO:0032201","telomere maintenance via semi-conservative replication","9/1069","27/18670",1.17272584074774e-05,1.17272584074774e-05,0.00253222906940404,"POLD3/RFC2/POLD1/FEN1/POLA2/DNA2/RTEL1/PCNA/RFC5",9
"GO:0000083","BP","GO:0000083","regulation of transcription involved in G1/S transition of mitotic cell cycle","9/1069","29/18670",2.25867510597454e-05,2.25867510597454e-05,0.00467387243420521,"CDC45/CDC6/TYMS/DHFR/CDT1/GFI1/PCNA/RRM2/E2F7",9
"GO:0140013","BP","GO:0140013","meiotic nuclear division","24/1069","172/18670",4.7080214047635e-05,4.7080214047635e-05,0.00935260841586281,"HSPA2/TEX15/FBXO43/DMC1/MASTL/BRIP1/TUBB8/RAD51/BRCA2/RAD54L/CYP26B1/FANCA/CCDC36/MND1/PTTG3P/EME1/CCNE2/SLC2A8/TEX14/RAD54B/FANCD2/LIF/CALR/DDX4",24
"GO:0032508","BP","GO:0032508","DNA duplex unwinding","18/1069","110/18670",5.05612987316008e-05,5.05612987316008e-05,0.00965782216257864,"CDC45/CHD7/BRIP1/RAD51/RECQL4/CHTF18/GINS4/POLQ/RFC2/GINS2/RAD54B/DSCC1/MCM4/MCM5/DNA2/RTEL1/RFC5/NBN",18
"GO:0035094","BP","GO:0035094","response to nicotine","11/1069","49/18670",8.03127862794612e-05,8.03127862794612e-05,0.0147725429109746,"TNF/CHRNA4/EDN1/CHRNA6/SLC7A11/CHRNB4/PENK/CHRNA3/PPP1R1B/IL13/DRD2",11
"GO:1902969","BP","GO:1902969","mitotic DNA replication","6/1069","15/18670",0.000111137567079308,0.000111137567079308,0.0197122947924879,"CDC45/LIG1/FGFR1/RAD51/BRCA2/MCM4",6
"GO:0006275","BP","GO:0006275","regulation of DNA replication","17/1069","108/18670",0.000132855479944283,0.000132855479944283,0.0227518023367378,"ATG7/FGFR1/CHTF18/BRCA2/CDC6/JUN/RFC2/TIMELESS/CDT1/CDK2/TIPIN/DSCC1/DNA2/PCNA/RFC5/NBN/E2F7",17
"GO:0061982","BP","GO:0061982","meiosis I cell cycle process","18/1069","119/18670",0.000144020996476343,0.000144020996476343,0.0232826861173955,"HSPA2/TEX15/DMC1/BRIP1/RAD51/BRCA2/RAD54L/CCDC36/MND1/PTTG3P/EME1/CCNE2/SLC2A8/RAD54B/FANCD2/CDC25A/DDX4/CDC25C",18
"GO:0001763","BP","GO:0001763","morphogenesis of a branching structure","25/1069","196/18670",0.000145331730851483,0.000145331730851483,0.0232826861173955,"TNF/EDN1/SIX4/FGFR1/LGR4/CSF1/GDF7/TIMELESS/DLL4/MAP3K13/TP63/SEMA3E/PAK1/SHOX2/PGR/LRRK2/ST14/SALL1/VEGFA/HOXD13/PROX1/HOXB13/TBX20/TACSTD2/DRD2",25
"GO:0048469","BP","GO:0048469","cell maturation","23/1069","177/18670",0.000199972129066467,0.000199972129066467,0.0310351481886708,"TDRD5/DMC1/RET/FGFR1/TUBB8/BRCA2/TYMS/IQCF1/DEFB1/MAP3K13/C1QL1/PGR/XBP1/LRRK2/B4GALT5/SEMG1/VEGFA/NPPC/SCLT1/PABPC1L/SLC26A8/REN/HOXB13",23
"GO:0000727","BP","GO:0000727","double-strand break repair via break-induced replication","5/1069","11/18670",0.000210671556659533,0.000210671556659533,0.0317048932797345,"CDC45/GINS4/GINS2/MCM4/MCM5",5
"GO:0006801","BP","GO:0006801","superoxide metabolic process","13/1069","73/18670",0.000230476200556514,0.000230476200556514,0.0336652233506388,"TNF/DUOX2/GSTP1/EDN1/FANCC/DHFR/CYBA/PRG3/NCF1C/NCF1/FBLN5/NCF1B/PRKCD",13
"GO:0043114","BP","GO:0043114","regulation of vascular permeability","9/1069","39/18670",0.000284861565166027,0.000284861565166027,0.0404203568256637,"DDAH1/AZU1/BDKRB2/NPPB/VEGFA/C2CD4B/ABR/HRH1/IL6",9
"GO:0002064","BP","GO:0002064","epithelial cell development","25/1069","207/18670",0.000341190866176855,0.000341190866176855,0.04706837738662,"TNF/PDE4D/PTPRS/WNT5B/FGFR1/PDPK1/RILPL1/JAG1/TYMS/TP63/GSTM3/ROS1/PGR/XBP1/ONECUT2/ST14/VEGFA/TJP1/EPB41L5/PROX1/WNT7B/HOXB13/INSM1/NPHS2/RILPL2",25
"GO:0072677","BP","GO:0072677","eosinophil migration","7/1069","25/18670",0.000382180892317039,0.000382180892317039,0.0512981351337636,"CCL4/CCL3/EPX/CCL22/CCL16/HRH1/DAPK2",7
"GO:0045005","BP","GO:0045005","DNA-dependent DNA replication maintenance of fidelity","9/1069","41/18670",0.000424811358241901,0.000424811358241901,0.0555196672627504,"RAD51/BRCA2/TIMELESS/EME1/TIPIN/POLD1/DNA2/RTEL1/PCNA",9
"GO:0050829","BP","GO:0050829","defense response to Gram-negative bacterium","14/1069","88/18670",0.00045311742171784,0.00045311742171784,0.0566933492536125,"SPACA3/CTSG/ELANE/AZU1/GSDMD/RNASE3/DEFB1/DEFA6/DEFA5/DEFA4/IL22RA1/CHGA/IL6/HMGB2",14
"GO:2000242","BP","GO:2000242","negative regulation of reproductive process","11/1069","59/18670",0.000456622991021042,0.000456622991021042,0.0566933492536125,"FBXO43/OVOL1/ASTL/HYAL3/NR5A1/LIF/SEMG1/CALR/EAF2/NPPC/ZP4",11
"GO:0051208","BP","GO:0051208","sequestering of calcium ion","18/1069","131/18670",0.000484360208690837,0.000484360208690837,0.0586703842003432,"CAPN3/CCL3/PDE4D/GSTM2/CHD7/PLCG2/PDPK1/JPH1/BDKRB1/CYBA/IL13/HSP90B1/CALR/MYO5A/ANXA6/ANK2/PLCB3/DRD2",18
"GO:0000077","BP","GO:0000077","DNA damage checkpoint","19/1069","145/18670",0.000624272278334167,0.000624272278334167,0.0738174588767068,"ARID3A/PLK2/STK33/BRIP1/RPA4/CLSPN/BRCA1/RAD9A/EME1/CDK2/TIPIN/WDR76/CHEK1/FBXO6/DTL/PCNA/NBN/CDC25C/E2F7",19
"GO:0110110","BP","GO:0110110","positive regulation of animal organ morphogenesis","13/1069","81/18670",0.000656739568149145,0.000656739568149145,0.0758506066714239,"EDN1/SIX4/FGFR1/LGR4/JAG1/CSF1/BASP1/TNFAIP3/XBP1/LIF/VEGFA/AMELX/HOXC11",13
"GO:0001655","BP","GO:0001655","urogenital system development","34/1069","330/18670",0.000678617597119747,0.000678617597119747,0.0765961201725111,"FBN1/HYAL2/CEP55/OVOL1/TP73/SIX4/RET/FGFR1/CD24/EPCAM/CYP26B1/LGR4/JAG1/FOXC1/LIN28A/TP63/GLIS2/BASP1/ID4/APAF1/LRRK2/LIF/SALL1/VEGFA/EAF2/HOXD13/PROX1/REN/WNT7B/HOXB13/POU3F3/HOXC11/NPHS2/TACSTD2",34
"GO:0007098","BP","GO:0007098","centrosome cycle","17/1069","124/18670",0.000705009279111421,0.000705009279111421,0.0778066381017002,"SAC3D1/PLK2/CNTROB/POC1A/BRCA2/BRCA1/CEP72/CDK2/HAUS8/WDR62/CHEK1/XRCC3/PARD6G/HAUS4/XRCC2/UBXN2B/ARHGEF10",17
"GO:0007127","BP","GO:0007127","meiosis I","16/1069","114/18670",0.000772461580037834,0.000772461580037834,0.0833975682979062,"HSPA2/TEX15/DMC1/BRIP1/RAD51/BRCA2/RAD54L/CCDC36/MND1/PTTG3P/EME1/CCNE2/SLC2A8/RAD54B/FANCD2/DDX4",16
"GO:2000241","BP","GO:2000241","regulation of reproductive process","20/1069","160/18670",0.000834867369218131,0.000834867369218131,0.0882173403800928,"FBXO43/HDAC4/OVOL1/ASTL/HYAL3/CCDC36/IQCF1/NR5A1/DEFB1/CITED2/LIF/SEMG1/CALR/EAF2/NPPC/NUPR1/HOXD13/CDC25A/ZP4/CDC25C",20
"GO:0022412","BP","GO:0022412","cellular process involved in reproduction in multicellular organism","36/1069","361/18670",0.00087238677303423,0.00087238677303423,0.0902614209468311,"HSPA2/SPACA3/TEX15/TDRD5/DMC1/SRPK1/MASTL/BRIP1/TUBB8/TXNDC8/DDX25/BRCA2/FOSL1/CYP26B1/FANCA/PTX3/FANCG/FANCC/CCDC36/IQCF1/FOXC1/NOBOX/DEFB1/SLC2A8/TEX14/LIN28A/PIWIL4/SEMG1/CCDC42/NPPC/PABPC1L/HOOK1/DDX4/DPY19L2P2/SLC26A8/HMGB2",36
"GO:0048245","BP","GO:0048245","eosinophil chemotaxis","6/1069","21/18670",0.000895798186155509,0.000895798186155509,0.0907921770629794,"CCL4/CCL3/CCL22/CCL16/HRH1/DAPK2",6
"GO:0072593","BP","GO:0072593","reactive oxygen species metabolic process","30/1069","284/18670",0.000917327348564376,0.000917327348564376,0.0911147459058258,"DDAH1/TNF/DUOX2/LPO/GSTP1/HDAC4/RAB27A/EDN1/EPX/DUOXA2/RIPK3/PTX3/BRCA1/FANCC/DHFR/CYBA/PRG3/VAV1/AGXT2/NCF1C/NCF1/FBLN5/LRRK2/NCF1B/SLC25A33/GLA/GPX3/PRKCD/GCHFR/HBE1",30
"GO:1903169","BP","GO:1903169","regulation of calcium ion transmembrane transport","19/1069","152/18670",0.00111295949783251,0.00111295949783251,0.10560950146914,"HSPA2/CAPN3/PDE4D/GSTM2/RRAD/CHD7/PLCG2/PDPK1/JPH1/BDKRB1/CYBA/IL13/RAMP3/SESTD1/MYO5A/ANK2/GEM/DYSF/DRD2",19
"GO:0051783","BP","GO:0051783","regulation of nuclear division","22/1069","188/18670",0.0011485836551583,0.0011485836551583,0.10560950146914,"FBXO43/EDN1/IL1A/CDC6/PKMYT1/CDCA5/CCDC36/ANLN/CCDC8/HSPA1A/PTTG3P/CDT1/TEX14/CHEK1/NEK6/XRCC3/LIF/CALR/UBXN2B/CDC25C/KNTC1/AURKB",22
"GO:0060688","BP","GO:0060688","regulation of morphogenesis of a branching structure","10/1069","56/18670",0.00116309730407125,0.00116309730407125,0.10560950146914,"TNF/SIX4/FGFR1/LGR4/MAP3K13/SHOX2/LRRK2/VEGFA/HOXD13/TACSTD2",10
"GO:0097530","BP","GO:0097530","granulocyte migration","18/1069","141/18670",0.00116491555272499,0.00116491555272499,0.10560950146914,"THBS4/CCL4/CCL3/PDE4D/EDN1/EPX/PRTN3/CCL20/CSF1/CCL3L3/SAA1/VAV1/CCL22/CCL16/HRH1/CSF3R/DYSF/DAPK2",18
"GO:0034637","BP","GO:0034637","cellular carbohydrate biosynthetic process","13/1069","86/18670",0.00116958381766904,0.00116958381766904,0.10560950146914,"PGM1/GBE1/IRS2/FBP2/B3GNT9/PTH/B4GALT5/GYG2/GYS1/GYG1/PGP/NDST3/B3GNT8",13
"GO:0007093","BP","GO:0007093","mitotic cell cycle checkpoint","20/1069","165/18670",0.00122686137227291,0.00122686137227291,0.108803232225256,"ARID3A/PLK2/STK33/CDC6/CLSPN/BRCA1/RAD9A/EME1/CDT1/CDK2/TIPIN/TEX14/XRCC3/ZWINT/PCNA/NBN/CDC25C/KNTC1/AURKB/E2F7",20
"GO:0051298","BP","GO:0051298","centrosome duplication","11/1069","67/18670",0.00138090753738011,0.00138090753738011,0.12031619134551,"SAC3D1/PLK2/CNTROB/POC1A/BRCA2/BRCA1/CEP72/CDK2/WDR62/XRCC3/ARHGEF10",11
"GO:0007140","BP","GO:0007140","male meiotic nuclear division","9/1069","48/18670",0.00141924526292315,0.00141924526292315,0.121034542035947,"HSPA2/TEX15/DMC1/BRCA2/CYP26B1/FANCA/SLC2A8/TEX14/DDX4",9
"GO:0019932","BP","GO:0019932","second-messenger-mediated signaling","41/1069","439/18670",0.00143789446399212,0.00143789446399212,0.121034542035947,"DDAH1/TNF/ADCY1/CCL4/CCL3/ADRA2B/AZU1/HDAC4/PDE4D/EDN1/GSTM2/PLCG2/CCL20/PDPK1/JPH1/LGR4/HOMER3/ADCY4/NR5A1/MAFA/DEFB1/PLEK/CAMKK2/GALR2/LRRK2/CHGA/PTH/NPPB/APLP1/RAMP3/EIF4EBP2/VEGFA/NPPC/MYO5A/ANK2/CCR3/PDZD3/HRH1/NPY2R/PCLO/DRD2",41
"GO:0051924","BP","GO:0051924","regulation of calcium ion transport","27/1069","254/18670",0.00147143536268495,0.00147143536268495,0.121793544581537,"HSPA2/CAPN3/CCL4/CCL3/PDE4D/GSTM2/RRAD/CHD7/PLCG2/PDPK1/JPH1/BDKRB1/HOMER3/CYBA/IL13/PTH/STC2/SEMG1/CACNA1B/RAMP3/SESTD1/MYO5A/ANK2/GEM/BEST1/DYSF/DRD2",27
"GO:0006297","BP","GO:0006297","nucleotide-excision repair, DNA gap filling","6/1069","23/18670",0.00151035526505713,0.00151035526505713,0.122965593451934,"LIG1/POLD3/RFC2/POLD1/PCNA/RFC5",6
"GO:0031023","BP","GO:0031023","microtubule organizing center organization","17/1069","133/18670",0.00155450199084378,0.00155450199084378,0.124518512611222,"SAC3D1/PLK2/CNTROB/POC1A/BRCA2/BRCA1/CEP72/CDK2/HAUS8/WDR62/CHEK1/XRCC3/PARD6G/HAUS4/XRCC2/UBXN2B/ARHGEF10",17
"GO:0007059","BP","GO:0007059","chromosome segregation","32/1069","321/18670",0.00165117495269202,0.00165117495269202,0.125918179164563,"TEX15/PSRC1/DMC1/DSN1/SRPK1/BRIP1/SMC1B/CDC6/CDCA5/BIRC5/BRCA1/CCDC36/SPC25/PTTG3P/EME1/TOP3A/CDT1/CCNE2/CENPW/TEX14/FEN1/FANCD2/DSCC1/STAG3L1/NEK6/XRCC3/ZWINT/GEM/AURKB/NCAPD2/OIP5/KIFC1",32
"GO:0044262","BP","GO:0044262","cellular carbohydrate metabolic process","29/1069","282/18670",0.00167207997568203,0.00167207997568203,0.125918179164563,"PFKFB4/HDAC4/PGM1/GANC/GBE1/XYLB/GPD2/MOGAT1/IRS2/FBP2/PLEK/B3GNT9/PGAM1/INPP1/GUSB/PTH/B4GALT5/PGD/GYG2/NUPR1/GYS1/GYG1/GCKR/PPP1R1A/PGP/HRH1/NDST3/DYSF/B3GNT8",29
"GO:0090184","BP","GO:0090184","positive regulation of kidney development","8/1069","40/18670",0.0016786449321305,0.0016786449321305,0.125918179164563,"SIX4/RET/CD24/LGR4/LIN28A/BASP1/LIF/VEGFA",8
"GO:0048755","BP","GO:0048755","branching morphogenesis of a nerve","4/1069","10/18670",0.00169874779648675,0.00169874779648675,0.125918179164563,"MAP3K13/SHOX2/LRRK2/DRD2",4
"GO:0086070","BP","GO:0086070","SA node cell to atrial cardiac muscle cell communication","4/1069","10/18670",0.00169874779648675,0.00169874779648675,0.125918179164563,"SCN3B/SCN5A/GJC1/ANK2",4
"GO:0061138","BP","GO:0061138","morphogenesis of a branching epithelium","21/1069","182/18670",0.00175357670986635,0.00175357670986635,0.126261861684588,"TNF/EDN1/SIX4/FGFR1/LGR4/CSF1/GDF7/TIMELESS/DLL4/TP63/SEMA3E/PAK1/PGR/ST14/SALL1/VEGFA/HOXD13/PROX1/HOXB13/TBX20/TACSTD2",21
"GO:0071621","BP","GO:0071621","granulocyte chemotaxis","16/1069","123/18670",0.00175423167304466,0.00175423167304466,0.126261861684588,"THBS4/CCL4/CCL3/PDE4D/EDN1/CCL20/CSF1/CCL3L3/SAA1/VAV1/CCL22/CCL16/HRH1/CSF3R/DYSF/DAPK2",16
"GO:0071695","BP","GO:0071695","anatomical structure maturation","25/1069","232/18670",0.00179259151450342,0.00179259151450342,0.127179650607927,"TDRD5/DMC1/RET/FGFR1/TUBB8/BRCA2/TYMS/IQCF1/DEFB1/MAP3K13/C1QL1/PGR/XBP1/LRRK2/PTH/B4GALT5/SEMG1/VEGFA/NPPC/MYO5A/SCLT1/PABPC1L/SLC26A8/REN/HOXB13",25
"GO:0048608","BP","GO:0048608","reproductive structure development","40/1069","431/18670",0.00183211874752286,0.00183211874752286,0.12815324315512,"STOX2/DMC1/COL9A3/LRRC6/TTPA/SIX4/CHD7/BRIP1/OVOL2/HYAL3/BRCA2/FOSL1/FANCA/PTX3/LGR4/FANCG/GDF7/NR5A1/FOXC1/SOX15/TP63/BASP1/PGR/CITED2/ID4/LIF/STC2/ST14/SALL1/VEGFA/EAF2/GJB2/NUPR1/HOXD13/REN/FOXF2/WNT7B/HOXB13/E2F7/HMGB2",40
"GO:0006937","BP","GO:0006937","regulation of muscle contraction","20/1069","171/18670",0.00189556203909966,0.00189556203909966,0.130440636852271,"ADRA2B/HDAC4/PKP2/PDE4D/EDN1/GSTM2/SCN5A/CHRNB4/DOCK5/TNNT2/CHRNA3/TNNI2/HSPB6/DSG2/CHGA/ANXA6/PPP1R12B/ANK2/NPY2R/MYBPH",20
